date,open,high,low,volume,close,return
2019-12-24,8.305032,8.327089,8.274846,5040593.0,8.299226,0.0006998317461719417
2019-12-26,8.304449,8.40139,8.300966,8089757.0,8.395586,0.011610721288948911
2019-12-27,8.404295,8.414163,8.331154,7242191.5,8.356695,-0.004632315123685227
2019-12-30,8.351469,8.35321,8.248723,8699589.0,8.288196,-0.008196900808274177
2019-12-31,8.25511,8.310256,8.239436,9433454.0,8.29168,0.00042035685449537397
2020-01-02,8.38746,8.38746,8.230147,22975530.0,8.35205,0.007280792312293949
2020-01-03,8.242338,8.3265085,8.231889,15214805.0,8.251625,-0.012023994109230607
2020-01-06,8.18487,8.222602,8.143655,17474974.0,8.189514,-0.007527123445381978
2020-01-07,8.195899,8.230147,8.165133,13803922.0,8.180225,-0.0011342553416480161
2020-01-08,8.185451,8.23363,8.145397,17816068.0,8.168036,-0.0014900568138406234
2020-01-09,8.201124,8.300967,8.187773,16260478.0,8.241178,0.008954661806093833
2020-01-10,8.2673,8.354953,8.198221,11514465.0,8.263817,0.002747058733593599
2020-01-13,8.287035,8.342763,8.234792,23506116.0,8.321284,0.006954050410361345
2020-01-14,8.321285,8.420548,8.288777,14875434.0,8.356695,0.004255473073626614
2020-01-15,8.352631,8.440284,8.3265085,13631652.0,8.393846,0.0044456570450399635
2020-01-16,8.444928,8.480338,8.334636,14372408.0,8.370626,-0.002766312367417756
2020-01-17,8.178484,8.22086,7.8992696,40603824.0,7.9439673,-0.05097094291394688
2020-01-21,7.9027534,8.01769,7.8847585,27900698.0,7.8992705,-0.005626508558261523
2020-01-22,7.963124,8.025236,7.914944,19499136.0,7.928295,0.003674326635605185
2020-01-23,7.9282956,8.060066,7.863861,20248506.0,8.0531,0.015741720004111892
2020-01-24,8.071094,8.097796,7.961382,14761738.0,8.00608,-0.005838745327886086
2020-01-27,7.864441,7.897529,7.764597,15281990.0,7.7709823,-0.029364895179663564
2020-01-28,7.8168416,7.878953,7.773305,20343254.0,7.863281,0.011877353008512115
2020-01-29,7.8888216,7.92191,7.798266,12865054.0,7.828451,-0.004429448725029594
2020-01-30,7.7344127,7.8203244,7.7048073,16797956.0,7.768661,-0.007637526248807092
2020-01-31,7.7431183,7.7622743,7.541689,20207166.0,7.572455,-0.02525608982036931
2020-02-03,7.58929,7.7645965,7.5776796,27873138.0,7.7140946,0.01870458127516117
2020-02-04,7.805812,7.9085584,7.777949,18412120.0,7.903333,0.024531511449185528
2020-02-05,7.965446,7.981119,7.830192,19368212.0,7.896948,-0.0008078870015979511
2020-02-06,7.808134,8.036846,7.7599535,20443170.0,7.8156805,-0.010291001029764879
2020-02-07,7.8023295,7.8069735,7.614251,23332122.0,7.700744,-0.014705885175321565
2020-02-10,7.7036457,7.7825923,7.6914554,15848756.0,7.777948,0.01002552480643426
2020-02-11,7.7965236,7.905074,7.739636,21159812.0,7.8928847,0.01477725230356386
2020-02-12,7.894626,7.985182,7.8766313,17717876.0,7.9288745,0.0045597777451380495
2020-02-13,7.853992,7.9706697,7.830192,17814346.0,7.9689283,0.00505163753064819
2020-02-14,8.007241,8.066451,7.9561577,22267502.0,8.027557,0.007357162443035081
2020-02-18,7.979958,7.9909873,7.7396364,17282034.0,7.829031,-0.024730562486195984
2020-02-19,7.8522506,7.973572,7.841221,11490348.0,7.9311967,0.013049597070186714
2020-02-20,7.925392,8.036265,7.8806944,11505852.0,8.024656,0.011783757676820716
2020-02-21,7.974153,8.028139,7.7291875,16539553.0,7.773305,-0.03132233954950847
2020-02-24,7.648727,7.7348833,7.4723387,24756966.0,7.541031,-0.029880983699983377
2020-02-25,7.587602,7.630099,7.2621865,22188852.0,7.285472,-0.0338891326663423
2020-02-26,7.322729,7.519492,7.2581115,22668118.0,7.2674255,-0.0024770529623887594
2020-02-27,7.0869617,7.1009336,6.7551427,33825244.0,6.7574716,-0.07016981460628668
2020-02-28,6.5950546,6.8616743,6.4570875,51272964.0,6.649194,-0.01602338957665761
2020-03-02,6.7155576,6.984506,6.5857406,35862556.0,6.984506,0.05042896928560059
2020-03-03,6.8779745,7.0386453,6.628819,28455394.0,6.730111,-0.03642276203929096
2020-03-04,6.8581815,6.942592,6.749322,22362350.0,6.938517,0.030966205460801532
2020-03-05,6.752232,6.797639,6.5013304,27881650.0,6.6253257,-0.04513807489410193
2020-03-06,6.3429885,6.520541,6.305732,27019312.0,6.495509,-0.019594010298995546
2020-03-09,5.946552,6.1427326,5.716025,46877104.0,5.717189,-0.1198243278548301
2020-03-10,5.9482985,6.059487,5.7678356,37061580.0,6.059487,0.059871730670439494
2020-03-11,5.8429313,6.091504,5.8429313,49108532.0,5.988466,-0.011720629155570483
2020-03-12,5.5891185,5.9017267,5.31202,47347784.0,5.324827,-0.11081953208050277
2020-03-13,5.6188073,5.9017267,5.38537,39378900.0,5.89707,0.10746696559343616
2020-03-16,5.1263175,5.331231,4.9487658,42275110.0,5.062865,-0.14146092890198014
2020-03-17,5.1624103,5.2083993,4.9109263,36503296.0,5.0809107,0.0035643257325643773
2020-03-18,4.714745,5.156589,4.3776865,36439740.0,4.9126725,-0.03311181989480727
2020-03-19,4.8934617,5.207235,4.584928,32177872.0,5.138542,0.045976909716656245
2020-03-20,5.21946,5.299213,4.61811,32698366.0,4.6314993,-0.09867442943932347
2020-03-23,4.5628066,5.064611,4.2723193,37863796.0,4.9831114,0.07591755438676207
2020-03-24,5.253224,5.558265,5.169396,37638764.0,5.462212,0.0961448704518224
2020-03-25,5.394102,5.6345253,5.2631207,30010006.0,5.3504415,-0.020462497610858055
2020-03-26,5.3265734,5.9319983,5.239835,27096612.0,5.8830986,0.09955385924694271
2020-03-27,5.580386,5.693321,5.3859515,23394750.0,5.457555,-0.07233324289346432
2020-03-30,5.356263,5.6904106,5.3452024,16018505.0,5.6415114,0.03370674230493309
2020-03-31,5.61415,5.728832,5.3824587,36992870.0,5.4296117,-0.03756080329820832
2020-04-01,5.1996675,5.394684,5.1234074,26313294.0,5.1711426,-0.04760360671832209
2020-04-02,5.0430717,5.197921,4.99359,24734634.0,5.1210785,-0.009681438682429544
2020-04-03,5.090225,5.2258635,4.999411,19326992.0,5.0582075,-0.012276906124364273
2020-04-06,5.392937,5.605418,5.314931,20550068.0,5.5792217,0.10300372216837683
2020-04-07,5.909877,5.993705,5.734653,21869340.0,5.7416387,0.02911104966486633
2020-04-08,5.7940307,6.012915,5.734071,17358392.0,5.953537,0.03690554405661217
2020-04-09,6.0658903,6.2760425,6.0123334,22656094.0,6.185811,0.03901445476865262
2020-04-13,6.165436,6.228889,5.9133697,14305858.0,6.047261,-0.02239803317624811
2020-04-14,6.092669,6.242861,6.092669,16612865.0,6.214336,0.02762821052373976
2020-04-15,5.962852,6.132837,5.96227,11990259.0,6.0356193,-0.02875877648070535
2020-04-16,6.0443516,6.1526294,5.885427,18758400.0,6.068801,0.005497646281302115
2020-04-17,6.1788254,6.3470635,6.1497183,16593970.0,6.3348384,0.04383689628313725
2020-04-20,6.1980357,6.235293,6.0839367,18325514.0,6.1473894,-0.029590178653965293
2020-04-21,5.978569,6.039694,5.71195,24447762.0,5.7544456,-0.063920434257833
2020-04-22,5.8737845,5.9919586,5.784135,14853836.0,5.9226837,0.029236196098543443
2020-04-23,5.967509,6.07404,5.862141,15463656.0,5.8714557,-0.008649457339752975
2020-04-24,5.9989448,6.1537933,5.9576125,18359870.0,6.0990725,0.03876667246250354
2020-04-27,6.099072,6.231218,6.089176,12620693.0,6.1869755,0.014412519280595504
2020-04-28,6.3231964,6.34881,6.1811543,17464894.0,6.235875,0.007903619466409717
2020-04-29,6.355213,6.5281086,6.3121347,16971888.0,6.4786267,0.03892824984464904
2020-04-30,6.4576697,6.4728055,6.3424063,19658530.0,6.4501023,-0.0044028466711935055
2020-05-01,6.29991,6.327271,6.181154,14146102.0,6.2184105,-0.035920639584274494
2020-05-04,6.1834826,6.3068957,6.081026,12447195.0,6.298164,0.012825383592800721
2020-05-05,6.277207,6.462327,6.265564,13972604.0,6.402949,0.016637388292842115
2020-05-06,6.4390416,6.4792094,6.092669,22827874.0,6.2155004,-0.029275354215690275
2020-05-07,6.1980357,6.3389134,6.110715,15405251.0,6.209678,-0.0009367548266909775
2020-05-08,6.290014,6.3936343,6.2603245,10031966.0,6.318538,0.017530699659467075
2020-05-11,6.227143,6.2469354,6.110715,13239102.0,6.110715,-0.032890994720614186
2020-05-12,6.134583,6.189304,5.935491,14752485.0,5.936656,-0.028484228114058596
2020-05-13,5.8790236,5.9826446,5.6176434,16459981.0,5.7055464,-0.03892925579652917
2020-05-14,5.5460396,5.8114953,5.457555,18691406.0,5.8039274,0.017243046169951315
2020-05-15,5.7055464,5.752117,5.641511,22125294.0,5.693903,-0.018956887710208203
2020-05-18,5.9657626,6.239368,5.9081306,30460070.0,6.2003646,0.08894805549023244
2020-05-19,6.1916323,6.3167925,6.118865,15324514.0,6.170093,-0.004882229022467599
2020-05-20,6.160779,6.3680205,6.160779,17320600.0,6.3587065,0.030568988182188006
2020-05-21,6.3347554,6.423549,6.251219,12914017.0,6.262902,-0.015066664894817783
2020-05-22,6.2056537,6.233109,6.1577516,10685219.0,6.1770287,-0.013711423234788023
2020-05-26,6.3417654,6.4562626,6.307299,16096302.0,6.309636,0.02146781348126159
2020-05-27,6.4031034,6.4480844,6.2570605,14059228.0,6.445748,0.021572084348447262
2020-05-28,6.425886,6.5228586,6.3318343,13127995.0,6.4054403,-0.006253378195982817
