date,open,high,low,volume,close,future_return
2007-01-04,1.2028594,1.2204162,1.1934059,176941280.0,1.2170398,-0.0180981007688783
2007-01-05,1.2188406,1.2208664,1.1954317,156007060.0,1.2021842,0.008651952373277094
2007-01-08,1.1967819,1.2111874,1.1956564,132309470.0,1.2071359,0.0007454004369349398
2007-01-09,1.2071364,1.219066,1.2064611,142678770.0,1.2161398,0.013788080191636798
2007-01-10,1.2080362,1.2251428,1.2033094,170717010.0,1.2246926,0.010659898601502071
2007-01-11,1.2246927,1.2474264,1.2204161,152266270.0,1.2451755,0.016548524667141296
2007-01-12,1.2377478,1.261832,1.2377478,157211040.0,1.259356,0.0017889406131961216
2007-01-16,1.2582307,1.2658836,1.253729,135143920.0,1.2658836,0.0121425017231509
2007-01-17,1.2604816,1.2782634,1.258906,213460620.0,1.2757875,-0.00035248830721745783
2007-01-18,1.275787,1.2886169,1.270835,163310980.0,1.280739,-0.0007061661256201335
2007-01-19,1.2753373,1.2825401,1.2699353,125214360.0,1.2778133,-0.004415205557090407
2007-01-22,1.2744367,1.2771378,1.2580054,149191890.0,1.2681342,0.0023058617611557697
2007-01-23,1.2688098,1.2861414,1.2631826,123290660.0,1.2703854,0.005840837186663395
2007-01-24,1.2717355,1.2870414,1.2712853,90023390.0,1.2843404,-0.017243925424701212
2007-01-25,1.2791635,1.2823147,1.2510277,111757310.0,1.254404,-0.015398864232339604
2007-01-26,1.2571057,1.2571057,1.2411246,81813144.0,1.2460765,0.010729165564193899
2007-01-29,1.2377477,1.2580053,1.2303197,136570060.0,1.24405,-0.0016192287349033885
2007-01-30,1.2510277,1.2566549,1.2375225,96740824.0,1.2447252,0.013696134994179543
2007-01-31,1.249002,1.2721858,1.2386479,137774030.0,1.2640827,0.004622194701322968
2007-02-01,1.2661085,1.2802889,1.2625071,96709720.0,1.2692597,-0.009025042990714938
2007-02-02,1.2719607,1.2766876,1.2559797,98824460.0,1.2607064,0.009464322038281958
2007-02-05,1.2604812,1.2762372,1.2573301,147325950.0,1.265208,0.001591938704072593
2007-02-06,1.2724108,1.2838901,1.2697097,74433800.0,1.273311,-0.01024382228881715
2007-02-07,1.2744364,1.2931186,1.2744364,132691560.0,1.2859159,0.01320504751418139
2007-02-08,1.2613813,1.2850153,1.2532783,239570770.0,1.2744362,0.000562659370273666
2007-02-09,1.2780379,1.2802888,1.257105,111526290.0,1.2600311,-0.009527142373414232
2007-02-12,1.278757,1.2792082,1.2552935,108262090.0,1.2589033,0.006590376354608907
2007-02-13,1.2665741,1.2774034,1.2611595,101281000.0,1.2737937,0.006724493504030482
2007-02-14,1.2749213,1.2893604,1.271086,99561256.0,1.2871042,0.014589700228555769
2007-02-15,1.2834945,1.3062812,1.2805616,143672800.0,1.3062812,0.004331141205524025
2007-02-16,1.3022203,1.3107934,1.2988361,166486500.0,1.3040252,0.002069945691451469
2007-02-20,1.3078604,1.3243299,1.2995127,156677550.0,1.3148543,0.004131721248106679
2007-02-21,1.3105676,1.3148541,1.3044761,83418344.0,1.3125981,-0.003943061552870275
2007-02-22,1.3159825,1.3159825,1.2983849,93050000.0,1.3105679,-0.0030983522576211175
2007-02-23,1.3107935,1.312824,1.2920679,139532880.0,1.2965801,-0.016919916720503192
2007-02-26,1.3067322,1.3101164,1.2852993,121071850.0,1.2950006,-0.020021525391430206
2007-02-27,1.2846224,1.2886834,1.2489761,213953440.0,1.2498785,-0.01254434120900394
2007-02-28,1.2589023,1.2690548,1.2419816,226169310.0,1.2609328,0.007259694273283213
2007-03-01,1.2431102,1.2722139,1.2356652,194991490.0,1.2634151,-0.003963950207278022
2007-03-02,1.2521348,1.2801105,1.2521348,208071570.0,1.2577751,0.007778481770829515
2007-03-05,1.2471714,1.2663482,1.2460433,168773630.0,1.2464945,0.005026126357287719
2007-03-06,1.2568725,1.2654457,1.244464,146150530.0,1.2570982,-0.009108845646857433
2007-03-07,1.2631897,1.2753726,1.2570982,139009870.0,1.2661226,-0.018745154026557076
2007-03-08,1.2516835,1.2737932,1.2194213,566695100.0,1.224159,-0.004776259637418456
2007-03-09,1.2282205,1.230251,1.2070132,347329540.0,1.2259644,-0.017349390217663574
2007-03-12,1.2223542,1.2266408,1.2020493,277966560.0,1.2103969,-0.007888958812788172
2007-03-13,1.2011471,1.2164885,1.1860312,291618400.0,1.1948301,-0.007951185868116495
2007-03-14,1.1916713,1.1991163,1.162342,315500400.0,1.1851285,0.011832047153598202
2007-03-15,1.1821961,1.2065619,1.1821961,167417260.0,1.2000192,0.0015087145045171724
2007-03-16,1.1961839,1.2081412,1.1905437,246868560.0,1.1952814,0.005273005102051975
2007-03-19,1.1979886,1.2119764,1.1946045,140180020.0,1.2011472,-0.0043083748842487335
2007-03-20,1.2043056,1.2043056,1.1891898,231638780.0,1.1997935,0.025587494798255728
2007-03-21,1.199117,1.2307023,1.1977632,185709900.0,1.2259644,-0.005870388292594786
2007-03-22,1.2297994,1.2331835,1.2176164,158938080.0,1.2237079,0.004613440429256155
2007-03-23,1.22258,1.2413057,1.2203239,120362620.0,1.2309276,-0.0031227296927106574
2007-03-26,1.2282203,1.2302508,1.2112997,124103580.0,1.2300253,-0.009397616713502366
2007-03-27,1.2243849,1.2266409,1.2140069,125885440.0,1.2212263,0.007068555748283467
