date,open,high,low,volume,close,future_return
2010-12-21,2.3870175,2.4033334,2.349649,98416200.0,2.397193,-0.004899140923791734
2010-12-22,2.3992982,2.4035087,2.3654387,78318000.0,2.3889472,-0.006098904074509859
2010-12-23,2.3875437,2.3903508,2.3614037,46232700.0,2.3789475,-0.00133068839156536
2010-12-27,2.3729823,2.3807018,2.3336842,45668400.0,2.3666666,-0.010734380932664656
2010-12-28,2.3698246,2.3794737,2.3342106,68063700.0,2.3400002,-0.0018707670153293998
2010-12-29,2.344386,2.3622806,2.3161404,46899600.0,2.345263,-0.007722307032281384
2010-12-30,2.3400002,2.3473685,2.3201754,48849000.0,2.3229825,0.004080011025310748
2010-12-31,2.32193,2.3235087,2.265614,57986100.0,2.2835088,0.017307557443402732
2011-01-03,2.3314035,2.4156141,2.3292983,131521800.0,2.3566668,-0.025075825726306178
2011-01-04,2.3717544,2.3852632,2.3085964,82211100.0,2.3170176,0.04620632780440537
2011-01-05,2.3122807,2.408772,2.3122807,130889100.0,2.4085963,0.0018855595873661368
2011-01-06,2.4191227,2.4421053,2.3817544,113743500.0,2.4222808,0.00014477959400727158
2011-01-07,2.4236841,2.4385965,2.377193,74379300.0,2.4271932,0.04219439900826516
2011-01-10,2.424035,2.5184212,2.4222808,119899500.0,2.5033333,-0.001041595870223122
2011-01-11,2.5263157,2.5280702,2.4754386,100656300.0,2.5026314,-0.012304470888058416
2011-01-12,2.5236843,2.5236843,2.4845612,69933300.0,2.5019298,0.016821458220241725
2011-01-13,2.4926317,2.5571928,2.4801753,101237700.0,2.5254385,-0.00034605592904546345
2011-01-14,2.5345614,2.5438597,2.4815788,100986900.0,2.5292983,-0.0175183624889651
2011-01-18,2.5336843,2.5566666,2.4521053,163909200.0,2.4873683,-0.2163647884225045
2011-01-19,2.4892983,2.5192983,2.3789475,419810700.0,2.4347367,0.004856559828878115
2011-01-20,1.9507018,2.0131578,1.8614035,1329781500.0,1.9149123,-0.025686934664778782
2011-01-21,1.9601755,1.9968421,1.9238597,537720900.0,1.9292983,-0.03775493309699751
2011-01-24,1.9098246,1.9378947,1.8385966,411750900.0,1.8694737,0.03847252406828394
2011-01-25,1.8377193,1.8938596,1.8010527,323349600.0,1.8864912,0.007446208147992461
2011-01-26,1.908421,1.9298246,1.8782456,227863200.0,1.9089473,0.029473510654537627
2011-01-27,1.9226315,1.9736842,1.9208771,187530000.0,1.9463159,-0.022868257041814055
2011-01-28,1.9792982,1.9856141,1.8912281,245265300.0,1.9224561,-0.00616839890858234
2011-01-31,1.9340351,1.9429824,1.893158,141439800.0,1.9014034,-0.015973007096593883
2011-02-01,1.9221052,1.9473684,1.9078947,126557100.0,1.9291228,0.05602448425333284
2011-02-02,1.8914034,1.9954386,1.8914034,212592900.0,1.9914036,0.05533601389388232
2011-02-03,1.9973683,2.081579,1.9973683,334789500.0,2.0738597,0.03562213046031193
2011-02-04,2.1078947,2.1736841,2.0964913,403634100.0,2.1691227,-0.0034557310219267556
2011-02-07,2.1829824,2.2449121,2.1650877,421583400.0,2.1794736,-0.006935520956555807
2011-02-08,2.1754386,2.1991227,2.1447368,211891800.0,2.1670175,-0.013805396790187774
2011-02-09,2.1603508,2.1833334,2.1240351,175674000.0,2.1694736,0.04660735706477781
2011-02-10,2.1305263,2.2447367,2.122807,267016500.0,2.2280703,-0.0028323753730394863
2011-02-11,2.2298245,2.2614033,2.2124562,150029700.0,2.2214036,0.021618983473328246
2011-02-14,2.2235088,2.2631578,2.222807,148040400.0,2.2529824,-0.0175316392281879
2011-02-15,2.2715788,2.2792983,2.205614,177463800.0,2.2170177,-0.017923119942011567
2011-02-16,2.2317543,2.234386,2.188772,165317100.0,2.2049122,-0.01016569238623144
2011-02-17,2.1917543,2.1929824,2.1535087,149596500.0,2.1566668,-0.040999438757862605
2011-02-18,2.1694736,2.17,2.1101754,148929600.0,2.1201754,-0.03431996825418793
2011-02-22,2.0805264,2.0831578,2.0175438,147561600.0,2.0194738,-0.02148096671841071
2011-02-23,2.0091228,2.0433333,1.9419298,187712400.0,1.9647368,0.07977868780871922
2011-02-24,1.9659649,2.0578947,1.942807,188823900.0,2.0536842,-0.0028098173785934266
2011-02-25,2.122807,2.1517544,2.0814035,153244500.0,2.108421,-0.0172386010993828
2011-02-28,2.1168423,2.1221054,2.0452633,118109700.0,2.070351,-0.0497554042445435
2011-03-01,2.0803509,2.0807018,1.9729824,208027200.0,1.9891227,0.023695416862306917
2011-03-02,1.9768422,2.0438597,1.9759649,171142500.0,1.9859649,-0.0064153287150572336
2011-03-03,2.0236843,2.0435088,1.995614,173525100.0,2.0061402,-0.003926291005771687
2011-03-04,2.0107017,2.0263157,1.9745615,121541100.0,1.9968421,-0.0501051249518738
2011-03-07,2.0028071,2.0092983,1.8947369,242706000.0,1.9070175,0.00922171033425112
2011-03-08,1.9024562,1.9724561,1.8994737,148131600.0,1.9405264,-0.027869217298478244
2011-03-09,1.9200001,1.9231579,1.8747369,151038600.0,1.8977193,0.02735223182407731
2011-03-10,1.8664912,1.9531579,1.8443859,220778100.0,1.9308772,0.007227735438025684
2011-03-11,1.9175439,1.9545615,1.8968421,125468400.0,1.9473684,-0.044327352846122214
2011-03-14,1.9314034,1.968421,1.8947369,133790400.0,1.9117544,0.05712390590172434
2011-03-15,1.8457894,1.9477192,1.8403509,192517500.0,1.9415789,-0.023287231257073437
2011-03-16,1.9512281,1.9803509,1.8694737,214017900.0,1.8710526,-0.03479702426721443
2011-03-17,1.9057894,1.9100001,1.8070176,225497700.0,1.8133334,-0.059036617867198604
2011-03-18,1.8394736,1.8459649,1.7001755,490291200.0,1.7003509,-0.035374084575492404
2011-03-21,1.7308773,1.7308773,1.6703509,416362200.0,1.6771929,-0.03477982289811665
2011-03-22,1.6696491,1.6947368,1.5982456,586558500.0,1.6082456,0.04637495276371806
2011-03-23,1.611579,1.6915789,1.611579,335559000.0,1.678421,-0.011652205853007747
2011-03-24,1.6863159,1.6966666,1.6394737,246718800.0,1.6645614,0.016842120673684846
2011-03-25,1.6666666,1.7010527,1.6666666,200024400.0,1.678421,-0.029088941716495564
2011-03-28,1.6947368,1.6991228,1.6436843,146700900.0,1.6449124,0.05032511998168032
2011-03-29,1.6454387,1.721579,1.638772,215750700.0,1.708772,0.025276673639440972
2011-03-30,1.7282456,1.7868421,1.7282456,350954700.0,1.7666667,-0.0041584602189962405
2011-03-31,1.7719299,1.8070176,1.7547368,288853200.0,1.7994736,-0.06303441750454253
2011-04-01,1.7645614,1.7670176,1.638772,701402100.0,1.6414034,0.000955100825707822
2011-04-04,1.6533333,1.6761403,1.6421052,231431400.0,1.6517544,-0.004028491175726234
2011-04-05,1.6549124,1.6608771,1.635614,162113700.0,1.6377193,0.002660950528246442
2011-04-06,1.6482456,1.6731579,1.6322807,189935400.0,1.6559649,0.019957625157211334
2011-04-07,1.6526315,1.6701754,1.6315789,202367100.0,1.6598246,-0.012073285338560003
2011-04-08,1.6856141,1.6921052,1.6575439,157206000.0,1.6698246,-0.014011899140027873
2011-04-11,1.6652632,1.6838597,1.6449124,119825400.0,1.6578947,0.03355070561181761
2011-04-12,1.6419297,1.6542106,1.6145614,147658500.0,1.6450877,-0.009614337529557648
2011-04-13,1.6970176,1.7145615,1.6733333,241030200.0,1.6964911,0.004488481865820404
2011-04-14,1.6807019,1.6921052,1.654386,136902600.0,1.6871929,-0.02286195664529156
2011-04-15,1.6882457,1.6882457,1.6591228,131869500.0,1.6612281,-0.007763469212937468
