date,open,high,low,volume,close,future_return
2012-12-26,3.7626672,3.7728002,3.7157335,22445624.0,3.7557335,-0.0002842080269515046
2012-12-27,3.752533,3.7839994,3.7034664,27768752.0,3.7647996,0.003696554400792529
2012-12-28,3.7514665,3.7744,3.7280002,21159374.0,3.7477334,0.02167122491656781
2012-12-31,3.765334,3.7957337,3.730134,28642496.0,3.7856007,-0.007209144821690994
2013-01-02,3.8469334,3.8810668,3.8090668,32276248.0,3.8714666,-0.003491254438789171
2013-01-03,3.8192003,3.8533335,3.7898667,51579372.0,3.8112001,-0.00924874795266728
2013-01-04,3.8058665,3.8234665,3.7498662,40192504.0,3.7674663,-0.016690415780550194
2013-01-07,3.770667,3.781334,3.698667,71495620.0,3.7221339,0.0011508379918403477
2013-01-08,3.707733,3.7301333,3.6704,102375000.0,3.7130666,0.006034375000000036
2013-01-09,3.712,3.7498665,3.7018669,30001874.0,3.7216,0.010997109147076856
2013-01-10,3.7343996,3.7701333,3.725333,32289378.0,3.7663999,0.0016950484962496848
2013-01-11,3.7754672,3.786667,3.7605338,15530624.0,3.7765336,-0.0018333538346724243
2013-01-14,3.7818668,3.784,3.747733,21266250.0,3.7616,-0.006216401227539414
2013-01-15,3.7749333,3.7749333,3.7296,51646876.0,3.7381332,0.006824050795278147
2013-01-16,3.7514668,3.785067,3.7184005,39112496.0,3.7749336,0.0062128895251261085
2013-01-17,3.777067,3.8176003,3.7749336,19194374.0,3.8128002,0.004630691980481272
2013-01-18,3.8005335,3.8245332,3.784,21751874.0,3.802667,-0.0015361698019603631
2013-01-22,3.8181326,3.8250663,3.789333,20767502.0,3.8186662,0.0026578933748953038
2013-01-23,3.8122673,3.8256006,3.8032005,20283748.0,3.8048003,0.0018140697418915774
2013-01-24,3.8223999,3.8538666,3.7813332,40818750.0,3.8319998,-0.0037605755987855094
2013-01-25,3.829334,3.8362672,3.7760007,27901872.0,3.8053339,-0.0032153902551643743
2013-01-28,3.8149335,3.8240001,3.7936,13627499.0,3.8090668,-0.004909002024105713
2013-01-29,3.802667,3.8037336,3.777067,23418748.0,3.7888002,-0.013248547561988344
2013-01-30,3.7839997,3.7919998,3.72,37666876.0,3.7381332,-0.003570989348523179
2013-01-31,3.7338672,3.7360005,3.6741335,35525624.0,3.714667,0.007310725536788576
2013-02-01,3.7205336,3.775467,3.7205336,29915622.0,3.7525337,-0.004696065093637625
2013-02-04,3.7477334,3.7701337,3.7013338,22696874.0,3.7136002,0.0038603709068023573
